번호,작성자,작성일,댓글,회차,좋아요,대댓글수,댓글_전처리,댓글_토큰,감정_라벨
11,블루노바,15.12.24,최여사 너무하다 영준 내색 하다 조용하다 하다 조용하다 덮다 미소 납치 되다 사람 성연 거짓말 하다 진실 밝혀지다,김 비서가 왜 그럴까(애장판) 43화,835,40,최여사 너무하다 영준 내색 하다 조용하다 하다 조용하다 덮다 미소 납치 되다 사람 성연 거짓말 하다 진실 밝혀지다,"['최여사', '너무하다', '영준', '내색', '하다', '조용하다', '하다', '조용하다', '덮다', '미소', '납치', '되다', '사람', '성연', '거짓말', '하다', '진실', '밝혀지다']",Negative
12,윤여사,15.12.07,문대 기다리다 여주 들다,김 비서가 왜 그럴까(애장판) 09화,811,20,문대 기다리다 여주 들다,"['문대', '기다리다', '여주', '들다']",Neutral
13,니냐니뇨,15.12.13,지금 보다 로설 주중 영준 웃기 멋지다 애니팡 하다 들다,김 비서가 왜 그럴까(애장판) 55화,803,12,지금 보다 로설 주중 영준 웃기 멋지다 애니팡 하다 들다,"['지금', '보다', '로설', '주중', '영준', '웃기', '멋지다', '애니팡', '하다', '들다']",Positive
14,Ambrosia,15.12.09,사람 좋다 무엇 깎다 이오 노인장 외고집 구먼 정말 센스 장면 저런 대사 보통 아니다,김 비서가 왜 그럴까(애장판) 62화,775,11,사람 좋다 무엇 깎다 이오 노인장 외고집 구먼 정말 센스 장면 저런 대사 보통 아니다,"['사람', '좋다', '무엇', '깎다', '이오', '노인장', '외고집', '구먼', '정말', '센스', '장면', '저런', '대사', '보통', '아니다']",Positive
15,"수플레,러뷰어,베스트,고리",15.12.07,오다 성연 진짜 나쁘다 성연 하다 애길 들다 보다 질투 동생 괴롭히다 폭행 모자라다 유괴 당하다 하다 거짓말 하다 피해자 코스프레 시원찮다 가다,김 비서가 왜 그럴까(애장판) 35화,764,13,오다 성연 진짜 나쁘다 성연 하다 애길 들다 보다 질투 동생 괴롭히다 폭행 모자라다 유괴 당하다 하다 거짓말 하다 피해자 코스프레 시원찮다 가다,"['오다', '성연', '진짜', '나쁘다', '성연', '하다', '애길', '들다', '보다', '질투', '동생', '괴롭히다', '폭행', '모자라다', '유괴', '당하다', '하다', '거짓말', '하다', '피해자', '코스프레', '시원찮다', '가다']",Negative
16,달의정원,15.12.08,블록버스터 대작 영화 영준 이의 보좌 모든 남자 오징어 진짜 블록버스터 저주 헐다 진짜 어휘 이심 개그 지망 고귀남 외향 성향 콧털 장난 아니다 읽다 많다 터지다 보다 처음 커피 멀리 양가 오지 하다,김 비서가 왜 그럴까(애장판) 20화,734,32,블록버스터 대작 영화 영준 이의 보좌 모든 남자 오징어 진짜 블록버스터 저주 헐다 진짜 어휘 이심 개그 지망 고귀남 외향 성향 콧털 장난 아니다 읽다 많다 터지다 보다 처음 커피 멀리 양가 오지 하다,"['블록버스터', '대작', '영화', '영준', '이의', '보좌', '모든', '남자', '오징어', '진짜', '블록버스터', '저주', '헐다', '진짜', '어휘', '이심', '개그', '지망', '고귀남', '외향', '성향', '콧털', '장난', '아니다', '읽다', '많다', '터지다', '보다', '처음', '커피', '멀리', '양가', '오지', '하다']",Neutral
17,별리와소리☆★,15.12.11,미소 오해 갈등 하다 않다 빠르다 캐치 하다 차리다 좋다 성연 어리다 기억 바꾸다 리다 성격 이해 해주다 다시 미소 꼬이다 때리다 싶다,김 비서가 왜 그럴까(애장판) 46화,708,15,미소 오해 갈등 하다 않다 빠르다 캐치 하다 차리다 좋다 성연 어리다 기억 바꾸다 리다 성격 이해 해주다 다시 미소 꼬이다 때리다 싶다,"['미소', '오해', '갈등', '하다', '않다', '빠르다', '캐치', '하다', '차리다', '좋다', '성연', '어리다', '기억', '바꾸다', '리다', '성격', '이해', '해주다', '다시', '미소', '꼬이다', '때리다', '싶다']",Positive
18,바람불다♡♡,15.12.11,진짜 영준 털다 마음 명품 빤스 한장 기어이 걸치다 이다,김 비서가 왜 그럴까(애장판) 48화,701,27,진짜 영준 털다 마음 명품 빤스 한장 기어이 걸치다 이다,"['진짜', '영준', '털다', '마음', '명품', '빤스', '한장', '기어이', '걸치다', '이다']",Neutral
19,바람속을걷다,15.12.09,역시 엄마 말로 더욱 확실하다 미소 발음 잘못 하다 성현 성연 문득 들다 생각 서브 없다 성연 끼어들다 하다 차갑다 제법 남다 동생 복수 답시고 그렇다 영준 제대로 한판 뒤지다 버리다 식구 전체 마이 짜내다 새살 돋다,김 비서가 왜 그럴까(애장판) 27화,691,5,역시 엄마 말로 더욱 확실하다 미소 발음 잘못 하다 성현 성연 문득 들다 생각 서브 없다 성연 끼어들다 하다 차갑다 제법 남다 동생 복수 답시고 그렇다 영준 제대로 한판 뒤지다 버리다 식구 전체 마이 짜내다 새살 돋다,"['역시', '엄마', '말로', '더욱', '확실하다', '미소', '발음', '잘못', '하다', '성현', '성연', '문득', '들다', '생각', '서브', '없다', '성연', '끼어들다', '하다', '차갑다', '제법', '남다', '동생', '복수', '답시고', '그렇다', '영준', '제대로', '한판', '뒤지다', '버리다', '식구', '전체', '마이', '짜내다', '새살', '돋다']",Neutral
20,별리와소리☆★,15.12.12,미소 라라 역시 며느리 사랑 시아버지 회장 제일 이십,김 비서가 왜 그럴까(애장판) 63화,680,20,미소 라라 역시 며느리 사랑 시아버지 회장 제일 이십,"['미소', '라라', '역시', '며느리', '사랑', '시아버지', '회장', '제일', '이십']",Positive
21,리다,15.12.15,월반 하다 학년 되다 똑똑하다 동생 대한 열등감 질투 심해 유괴 되다 동생 위치 일부러 전혀 알다 주다 사흘 발견 되다 성현 상태 심각하다 않다 형님 아예 기억 왜곡 하다 본인 피해자 탈바꿈 하다 버리다 어이없다 부모님,김 비서가 왜 그럴까(애장판) 27화,678,14,월반 하다 학년 되다 똑똑하다 동생 대한 열등감 질투 심해 유괴 되다 동생 위치 일부러 전혀 알다 주다 사흘 발견 되다 성현 상태 심각하다 않다 형님 아예 기억 왜곡 하다 본인 피해자 탈바꿈 하다 버리다 어이없다 부모님,"['월반', '하다', '학년', '되다', '똑똑하다', '동생', '대한', '열등감', '질투', '심해', '유괴', '되다', '동생', '위치', '일부러', '전혀', '알다', '주다', '사흘', '발견', '되다', '성현', '상태', '심각하다', '않다', '형님', '아예', '기억', '왜곡', '하다', '본인', '피해자', '탈바꿈', '하다', '버리다', '어이없다', '부모님']",Negative
22,니냐니뇨,15.12.07,저런 어렵다 가정 형편 때문 재수없다 보스 버티다 오다 이제 보내다 보다 그렇다 끄다,김 비서가 왜 그럴까(애장판) 03화,676,11,저런 어렵다 가정 형편 때문 재수없다 보스 버티다 오다 이제 보내다 보다 그렇다 끄다,"['저런', '어렵다', '가정', '형편', '때문', '재수없다', '보스', '버티다', '오다', '이제', '보내다', '보다', '그렇다', '끄다']",Negative
23,"수플레,러뷰어,베스트,고리",15.12.07,성현 사흘 돌아오다 관심 받다 나머지 성연 관심 받다 싶다 성현 처럼 되다 싶다 하다 성현 당하다 당하다 스스로 거짓말 하다 보다 그게 진짜 처럼 믿다 된거,김 비서가 왜 그럴까(애장판) 34화,670,43,성현 사흘 돌아오다 관심 받다 나머지 성연 관심 받다 싶다 성현 처럼 되다 싶다 하다 성현 당하다 당하다 스스로 거짓말 하다 보다 그게 진짜 처럼 믿다 된거,"['성현', '사흘', '돌아오다', '관심', '받다', '나머지', '성연', '관심', '받다', '싶다', '성현', '처럼', '되다', '싶다', '하다', '성현', '당하다', '당하다', '스스로', '거짓말', '하다', '보다', '그게', '진짜', '처럼', '믿다', '된거']",Neutral
24,김이재,15.12.19,미치다 쩔다 말빨 보다,김 비서가 왜 그럴까(애장판) 09화,656,6,미치다 쩔다 말빨 보다,"['미치다', '쩔다', '말빨', '보다']",Neutral
25,로설이조아😁😍😘,15.12.08,어린시절 비밀 처녀작 영준 케이블 타이 발목 묶이다 보다 궁금타 기억 찾다,김 비서가 왜 그럴까(애장판) 19화,649,32,어린시절 비밀 처녀작 영준 케이블 타이 발목 묶이다 보다 궁금타 기억 찾다,"['어린시절', '비밀', '처녀작', '영준', '케이블', '타이', '발목', '묶이다', '보다', '궁금타', '기억', '찾다']",Neutral
26,바람속을걷다,15.12.12,사실 아빠 대처 가장 이기 하다 가족 이성 감정 먼저 움직 함정 들다 두렵다 성연 죄책감 질책 받다 엄마 성연 미치다 아빠 그로 인하다 아내 생기 성현 엄마 여자 처럼 되다 비겁하다 하다 다기 안타깝다 스럽다,김 비서가 왜 그럴까(애장판) 56화,614,18,사실 아빠 대처 가장 이기 하다 가족 이성 감정 먼저 움직 함정 들다 두렵다 성연 죄책감 질책 받다 엄마 성연 미치다 아빠 그로 인하다 아내 생기 성현 엄마 여자 처럼 되다 비겁하다 하다 다기 안타깝다 스럽다,"['사실', '아빠', '대처', '가장', '이기', '하다', '가족', '이성', '감정', '먼저', '움직', '함정', '들다', '두렵다', '성연', '죄책감', '질책', '받다', '엄마', '성연', '미치다', '아빠', '그로', '인하다', '아내', '생기', '성현', '엄마', '여자', '처럼', '되다', '비겁하다', '하다', '다기', '안타깝다', '스럽다']",Negative
27,hb0529,16.01.25,영리하다 영준 쑈했 모르다 안나 집안 평화 위해 미소 알아보다 뽑다,김 비서가 왜 그럴까(애장판) 43화,611,7,영리하다 영준 쑈했 모르다 안나 집안 평화 위해 미소 알아보다 뽑다,"['영리하다', '영준', '쑈했', '모르다', '안나', '집안', '평화', '위해', '미소', '알아보다', '뽑다']",Positive
28,빼미,15.12.13,보스 서다 재수없다 기술 터득 하다,김 비서가 왜 그럴까(애장판) 03화,611,11,보스 서다 재수없다 기술 터득 하다,"['보스', '서다', '재수없다', '기술', '터득', '하다']",Neutral
29,니냐니뇨,15.12.11,성연 유괴 당하다 우기 영준 이제 미소 만나다 괜찮다 성연 정신과 치료 받다 되다,김 비서가 왜 그럴까(애장판) 42화,605,8,성연 유괴 당하다 우기 영준 이제 미소 만나다 괜찮다 성연 정신과 치료 받다 되다,"['성연', '유괴', '당하다', '우기', '영준', '이제', '미소', '만나다', '괜찮다', '성연', '정신과', '치료', '받다', '되다']",Positive
30,호호아줌마,15.12.11,영준 미소 고생 하다 사람 죽다 듣다 보다 영준 가위 눌릴 만도 하다 정신 끝내주다 영준,김 비서가 왜 그럴까(애장판) 54화,596,3,영준 미소 고생 하다 사람 죽다 듣다 보다 영준 가위 눌릴 만도 하다 정신 끝내주다 영준,"['영준', '미소', '고생', '하다', '사람', '죽다', '듣다', '보다', '영준', '가위', '눌릴', '만도', '하다', '정신', '끝내주다', '영준']",Neutral
31,달의정원,15.12.08,보기 유괴 되다 엉터리 가르치다 주다 유괴 되다 발견 돼다 하다 악몽 꾸다 는걸 보다 영준 유괴 되다 당사자 무의식 반영 하다 비난 하다 의식 피해자 기억 조작 하다 버리다,김 비서가 왜 그럴까(애장판) 25화,596,25,보기 유괴 되다 엉터리 가르치다 주다 유괴 되다 발견 돼다 하다 악몽 꾸다 는걸 보다 영준 유괴 되다 당사자 무의식 반영 하다 비난 하다 의식 피해자 기억 조작 하다 버리다,"['보기', '유괴', '되다', '엉터리', '가르치다', '주다', '유괴', '되다', '발견', '돼다', '하다', '악몽', '꾸다', '는걸', '보다', '영준', '유괴', '되다', '당사자', '무의식', '반영', '하다', '비난', '하다', '의식', '피해자', '기억', '조작', '하다', '버리다']",Negative
32,바람속을걷다,15.12.10,어머니 끄다 아프다 가다 가다 좀더 강인하다 성격 이르다 상처 보여주다 부모 미처 살피 하다 성연 정말 미치다 버리다 두렵다 영준 가다 이나 엄마 유괴 처럼 되다 두렵다 영준 정말 존경 하다 정신 어리다 나이,김 비서가 왜 그럴까(애장판) 45화,587,40,어머니 끄다 아프다 가다 가다 좀더 강인하다 성격 이르다 상처 보여주다 부모 미처 살피 하다 성연 정말 미치다 버리다 두렵다 영준 가다 이나 엄마 유괴 처럼 되다 두렵다 영준 정말 존경 하다 정신 어리다 나이,"['어머니', '끄다', '아프다', '가다', '가다', '좀더', '강인하다', '성격', '이르다', '상처', '보여주다', '부모', '미처', '살피', '하다', '성연', '정말', '미치다', '버리다', '두렵다', '영준', '가다', '이나', '엄마', '유괴', '처럼', '되다', '두렵다', '영준', '정말', '존경', '하다', '정신', '어리다', '나이']",Negative
33,별리와소리☆★,15.12.13,아니다 이집 태몽 스펙 크다 범우 주적 꾸다 오로라 흡입 하다,김 비서가 왜 그럴까(애장판) 72화,582,10,아니다 이집 태몽 스펙 크다 범우 주적 꾸다 오로라 흡입 하다,"['아니다', '이집', '태몽', '스펙', '크다', '범우', '주적', '꾸다', '오로라', '흡입', '하다']",Neutral
34,바람,15.12.07,경험 하다 공포 기억 상처 미소 위해 감당 하다 하다 남자 사랑 하다 없다,김 비서가 왜 그럴까(애장판) 55화,581,9,경험 하다 공포 기억 상처 미소 위해 감당 하다 하다 남자 사랑 하다 없다,"['경험', '하다', '공포', '기억', '상처', '미소', '위해', '감당', '하다', '하다', '남자', '사랑', '하다', '없다']",Negative
35,피융,16.01.07,신차 소개 축하공연 저런 마술 미소 트라우마 꺼내다 소설 장치 겠다 아쉽다,김 비서가 왜 그럴까(애장판) 50화,572,13,신차 소개 축하공연 저런 마술 미소 트라우마 꺼내다 소설 장치 겠다 아쉽다,"['신차', '소개', '축하공연', '저런', '마술', '미소', '트라우마', '꺼내다', '소설', '장치', '겠다', '아쉽다']",Neutral
36,별리와소리☆★,15.12.11,들키다 키스 하다 빤스 얘기 기억 남아 이르다 어째,김 비서가 왜 그럴까(애장판) 47화,570,26,들키다 키스 하다 빤스 얘기 기억 남아 이르다 어째,"['들키다', '키스', '하다', '빤스', '얘기', '기억', '남아', '이르다', '어째']",Neutral
37,내안의광기,15.12.13,거미 메달 죽다 여자 시체 아니다 하다 생각,김 비서가 왜 그럴까(애장판) 49화,555,83,거미 메달 죽다 여자 시체 아니다 하다 생각,"['거미', '메달', '죽다', '여자', '시체', '아니다', '하다', '생각']",Negative
38,니냐니뇨,15.12.10,헤헤 아주 핑크 핑크 구먼 불면 시달리다 영준 미소 덕분 그동안 못자다 잠들다 하다 몰려오다 보다,김 비서가 왜 그럴까(애장판) 41화,551,4,헤헤 아주 핑크 핑크 구먼 불면 시달리다 영준 미소 덕분 그동안 못자다 잠들다 하다 몰려오다 보다,"['헤헤', '아주', '핑크', '핑크', '구먼', '불면', '시달리다', '영준', '미소', '덕분', '그동안', '못자다', '잠들다', '하다', '몰려오다', '보다']",Neutral
39,😳😳😳,15.12.28,영준 이름 개명 하다,김 비서가 왜 그럴까(애장판) 18화,543,16,영준 이름 개명 하다,"['영준', '이름', '개명', '하다']",Neutral
40,달의정원,15.12.08,인도 지사 대리 생각나다 대리 승진 핑계 삼다 가다 잘살다 고귀남 가면 적응하다 도와주다,김 비서가 왜 그럴까(애장판) 21화,543,68,인도 지사 대리 생각나다 대리 승진 핑계 삼다 가다 잘살다 고귀남 가면 적응하다 도와주다,"['인도', '지사', '대리', '생각나다', '대리', '승진', '핑계', '삼다', '가다', '잘살다', '고귀남', '가면', '적응하다', '도와주다']",Positive
41,예쁜웃음,15.12.07,거미 치우다 달라 영준 그렇다 왕자 직접 하진 않다 찍히다,김 비서가 왜 그럴까(애장판) 06화,539,6,거미 치우다 달라 영준 그렇다 왕자 직접 하진 않다 찍히다,"['거미', '치우다', '달라', '영준', '그렇다', '왕자', '직접', '하진', '않다', '찍히다']",Neutral
42,바람속을걷다,15.12.11,립밤 쓰다 사이 내지 핑크 핑크 근처 가기 커녕 블랙 코미디 커플 눈물 가리다 진짜 자체,김 비서가 왜 그럴까(애장판) 37화,535,10,립밤 쓰다 사이 내지 핑크 핑크 근처 가기 커녕 블랙 코미디 커플 눈물 가리다 진짜 자체,"['립밤', '쓰다', '사이', '내지', '핑크', '핑크', '근처', '가기', '커녕', '블랙', '코미디', '커플', '눈물', '가리다', '진짜', '자체']",Negative
43,별리와소리☆★,15.12.10,성연아 영준 이의 블록버스터 진짜 저주 발현 되다,김 비서가 왜 그럴까(애장판) 36화,523,5,성연아 영준 이의 블록버스터 진짜 저주 발현 되다,"['성연아', '영준', '이의', '블록버스터', '진짜', '저주', '발현', '되다']",Negative
44,연근,16.01.28,스피릿 우리엄마 살다 쓰다 빵터지다,김 비서가 왜 그럴까(애장판) 72화,522,7,스피릿 우리엄마 살다 쓰다 빵터지다,"['스피릿', '우리엄마', '살다', '쓰다', '빵터지다']",Neutral
45,바람불다♡♡,15.12.08,그렇다 부부 미소 넘다 멀리 가다 찾다 오빠 로설 정석 이지 무플 영준 미소 감정 깨닫다 계기 되다,김 비서가 왜 그럴까(애장판) 15화,520,3,그렇다 부부 미소 넘다 멀리 가다 찾다 오빠 로설 정석 이지 무플 영준 미소 감정 깨닫다 계기 되다,"['그렇다', '부부', '미소', '넘다', '멀리', '가다', '찾다', '오빠', '로설', '정석', '이지', '무플', '영준', '미소', '감정', '깨닫다', '계기', '되다']",Positive
46,바람속을걷다,15.12.07,부사 납치사건 미소 말리 가능성 납치사건 라면 단순하다 미소 짧다 헤매다 사건 라면 그냥 하루하루 읽다 가다 하다,김 비서가 왜 그럴까(애장판) 07화,516,14,부사 납치사건 미소 말리 가능성 납치사건 라면 단순하다 미소 짧다 헤매다 사건 라면 그냥 하루하루 읽다 가다 하다,"['부사', '납치사건', '미소', '말리', '가능성', '납치사건', '라면', '단순하다', '미소', '짧다', '헤매다', '사건', '라면', '그냥', '하루하루', '읽다', '가다', '하다']",Neutral
47,달의정원,15.12.13,봉황 아니다 안다 하나라 봉황 느리다 장난 아니다 헐다 하다 영준 미소 보통 일리 없다,김 비서가 왜 그럴까(애장판) 67화,511,31,봉황 아니다 안다 하나라 봉황 느리다 장난 아니다 헐다 하다 영준 미소 보통 일리 없다,"['봉황', '아니다', '안다', '하나라', '봉황', '느리다', '장난', '아니다', '헐다', '하다', '영준', '미소', '보통', '일리', '없다']",Negative
48,바람불다♡♡,15.12.07,바탕 깔리다 과거 생각 보다 어둡다 무겁다 진행 빵빵 터지다 그렇다 미소 영준 입장 보다 배려 하다 영준 어린시절 건가,김 비서가 왜 그럴까(애장판) 13화,509,4,바탕 깔리다 과거 생각 보다 어둡다 무겁다 진행 빵빵 터지다 그렇다 미소 영준 입장 보다 배려 하다 영준 어린시절 건가,"['바탕', '깔리다', '과거', '생각', '보다', '어둡다', '무겁다', '진행', '빵빵', '터지다', '그렇다', '미소', '영준', '입장', '보다', '배려', '하다', '영준', '어린시절', '건가']",Negative
49,🌙💫✨🌟💍,16.01.20,트라우마 엄청나다 와중 미소 충격 죽다 여자 아니다 거미 이미지 환시 놓다 다시 끔찍하다 원본 돌리다 싶다 않다 안타깝다 이미지 이제 깨다 버리다 영준 라면 처럼 미소 자다 지키다,김 비서가 왜 그럴까(애장판) 53화,508,2,트라우마 엄청나다 와중 미소 충격 죽다 여자 아니다 거미 이미지 환시 놓다 다시 끔찍하다 원본 돌리다 싶다 않다 안타깝다 이미지 이제 깨다 버리다 영준 라면 처럼 미소 자다 지키다,"['트라우마', '엄청나다', '와중', '미소', '충격', '죽다', '여자', '아니다', '거미', '이미지', '환시', '놓다', '다시', '끔찍하다', '원본', '돌리다', '싶다', '않다', '안타깝다', '이미지', '이제', '깨다', '버리다', '영준', '라면', '처럼', '미소', '자다', '지키다']",Negative
50,써니랑,15.12.13,영준 미소 오빠 납치 당하다 목격자 거짓 가르치다 주어 경찰 찿은것 싫다 하다 키도 영준 크다 하다 납치 당하다 동생 영준 인척 하다 수도 미소 납치 장소 나타나다 영준 탈출 도움 주다 거미 생각 납치 매달 죽다 보다 수도,김 비서가 왜 그럴까(애장판) 24화,507,31,영준 미소 오빠 납치 당하다 목격자 거짓 가르치다 주어 경찰 찿은것 싫다 하다 키도 영준 크다 하다 납치 당하다 동생 영준 인척 하다 수도 미소 납치 장소 나타나다 영준 탈출 도움 주다 거미 생각 납치 매달 죽다 보다 수도,"['영준', '미소', '오빠', '납치', '당하다', '목격자', '거짓', '가르치다', '주어', '경찰', '찿은것', '싫다', '하다', '키도', '영준', '크다', '하다', '납치', '당하다', '동생', '영준', '인척', '하다', '수도', '미소', '납치', '장소', '나타나다', '영준', '탈출', '도움', '주다', '거미', '생각', '납치', '매달', '죽다', '보다', '수도']",Negative
51,별리와소리☆★,15.12.12,미소 영준 없다 죽다 입장 영준 납치 되다 천운,김 비서가 왜 그럴까(애장판) 53화,504,5,미소 영준 없다 죽다 입장 영준 납치 되다 천운,"['미소', '영준', '없다', '죽다', '입장', '영준', '납치', '되다', '천운']",Negative
52,달의정원,15.12.08,영준 기억 보다 유괴 미소 기억 보다 되다 소리 싫다 커다랗다 거미 영준 부정 하다 거미 유괴 사람 매달 죽다 상황,김 비서가 왜 그럴까(애장판) 23화,492,32,영준 기억 보다 유괴 미소 기억 보다 되다 소리 싫다 커다랗다 거미 영준 부정 하다 거미 유괴 사람 매달 죽다 상황,"['영준', '기억', '보다', '유괴', '미소', '기억', '보다', '되다', '소리', '싫다', '커다랗다', '거미', '영준', '부정', '하다', '거미', '유괴', '사람', '매달', '죽다', '상황']",Negative
53,ㅍㄹㅅㄱ,15.12.07,여기 지네 생각 시작 하다 중간 수가 없다 읽다 리다 남여 주인공 성격 비정상 적당하다 매력 전체 실감 씌어 자다 읽히다 재미있다 읽다,김 비서가 왜 그럴까(애장판) 06화,491,7,여기 지네 생각 시작 하다 중간 수가 없다 읽다 리다 남여 주인공 성격 비정상 적당하다 매력 전체 실감 씌어 자다 읽히다 재미있다 읽다,"['여기', '지네', '생각', '시작', '하다', '중간', '수가', '없다', '읽다', '리다', '남여', '주인공', '성격', '비정상', '적당하다', '매력', '전체', '실감', '씌어', '자다', '읽히다', '재미있다', '읽다']",Neutral
54,아미,15.12.29,벗다,김 비서가 왜 그럴까(애장판) 48화,487,23,벗다,['벗다'],Neutral
55,SarahYoon,16.02.12,영준 회장 사건 책임 서로 돌리다 사이 미소 미소 유괴 사실 모르다 영준 어진 무게 안타깝다 반면 미소 미소 거미 어떻다 트라우마 모르다,김 비서가 왜 그럴까(애장판) 56화,481,8,영준 회장 사건 책임 서로 돌리다 사이 미소 미소 유괴 사실 모르다 영준 어진 무게 안타깝다 반면 미소 미소 거미 어떻다 트라우마 모르다,"['영준', '회장', '사건', '책임', '서로', '돌리다', '사이', '미소', '미소', '유괴', '사실', '모르다', '영준', '어진', '무게', '안타깝다', '반면', '미소', '미소', '거미', '어떻다', '트라우마', '모르다']",Positive
56,엄지엄지,15.12.28,정말 궁금하다 미치다 지경 남산 소나무 철갑 두룬듯 꿋꿋하다 태도 정말 입담 천재,김 비서가 왜 그럴까(애장판) 65화,477,9,정말 궁금하다 미치다 지경 남산 소나무 철갑 두룬듯 꿋꿋하다 태도 정말 입담 천재,"['정말', '궁금하다', '미치다', '지경', '남산', '소나무', '철갑', '두룬듯', '꿋꿋하다', '태도', '정말', '입담', '천재']",Neutral
57,달의정원,15.12.11,푸다 나나 인형 영준 부감 먼저 프로포즈 해오다 심각하다 장면 커피 귀양 보내다 배꼽 귀양 보내다 뭐임,김 비서가 왜 그럴까(애장판) 52화,472,4,푸다 나나 인형 영준 부감 먼저 프로포즈 해오다 심각하다 장면 커피 귀양 보내다 배꼽 귀양 보내다 뭐임,"['푸다', '나나', '인형', '영준', '부감', '먼저', '프로포즈', '해오다', '심각하다', '장면', '커피', '귀양', '보내다', '배꼽', '귀양', '보내다', '뭐임']",Neutral
58,키키카카,15.12.07,비서 기무라 그것 특별 외전 카카오페이지 좋다,김 비서가 왜 그럴까(애장판) 01화,470,13,비서 기무라 그것 특별 외전 카카오페이지 좋다,"['비서', '기무라', '그것', '특별', '외전', '카카오페이지', '좋다']",Positive
